C-VPIZR-0;C-VPI1-0;F-VPIMZBM
VPIZR-196701;VPI-0;103,30000
VPIZR-196702;VPI-0;103,20000
VPIZR-196703;VPI-0;102,90000
VPIZR-196704;VPI-0;103,00000
VPIZR-196705;VPI-0;103,50000
VPIZR-196706;VPI-0;103,30000
VPIZR-196707;VPI-0;104,00000
VPIZR-196708;VPI-0;104,20000
VPIZR-196709;VPI-0;104,90000
VPIZR-196710;VPI-0;105,10000
VPIZR-196711;VPI-0;105,10000
VPIZR-196712;VPI-0;105,30000
VPIZR-1967;VPI-0;104,00000
VPIZR-196801;VPI-0;105,40000
VPIZR-196802;VPI-0;105,70000
VPIZR-196803;VPI-0;106,10000
VPIZR-196804;VPI-0;106,10000
VPIZR-196805;VPI-0;105,80000
VPIZR-196806;VPI-0;106,50000
VPIZR-196807;VPI-0;106,80000
VPIZR-196808;VPI-0;107,30000
VPIZR-196809;VPI-0;107,40000
VPIZR-196810;VPI-0;108,30000
VPIZR-196811;VPI-0;108,40000
VPIZR-196812;VPI-0;108,50000
VPIZR-1968;VPI-0;106,90000
VPIZR-196901;VPI-0;108,90000
VPIZR-196902;VPI-0;108,90000
VPIZR-196903;VPI-0;108,90000
VPIZR-196904;VPI-0;109,30000
VPIZR-196905;VPI-0;109,30000
VPIZR-196906;VPI-0;110,00000
VPIZR-196907;VPI-0;110,70000
VPIZR-196908;VPI-0;110,60000
VPIZR-196909;VPI-0;110,60000
VPIZR-196910;VPI-0;111,00000
VPIZR-196911;VPI-0;111,40000
VPIZR-196912;VPI-0;112,20000
VPIZR-1969;VPI-0;110,20000
VPIZR-197001;VPI-0;113,10000
VPIZR-197002;VPI-0;113,00000
VPIZR-197003;VPI-0;113,10000
VPIZR-197004;VPI-0;113,40000
VPIZR-197005;VPI-0;113,90000
VPIZR-197006;VPI-0;115,10000
VPIZR-197007;VPI-0;115,80000
VPIZR-197008;VPI-0;115,70000
VPIZR-197009;VPI-0;115,90000
VPIZR-197010;VPI-0;116,40000
VPIZR-197011;VPI-0;116,80000
VPIZR-197012;VPI-0;117,40000
VPIZR-1970;VPI-0;115,00000
VPIZR-197101;VPI-0;117,80000
VPIZR-197102;VPI-0;118,00000
VPIZR-197103;VPI-0;118,10000
VPIZR-197104;VPI-0;118,80000
VPIZR-197105;VPI-0;118,70000
VPIZR-197106;VPI-0;120,00000
VPIZR-197107;VPI-0;120,90000
VPIZR-197108;VPI-0;121,70000
VPIZR-197109;VPI-0;122,10000
VPIZR-197110;VPI-0;122,60000
