C-VPIZR-0;C-VPI1-0;F-VPIMZBM
VPIZR-197111;VPI-0;122,70000
VPIZR-197112;VPI-0;123,10000
VPIZR-1971;VPI-0;120,40000
VPIZR-197201;VPI-0;124,10000
VPIZR-197202;VPI-0;124,70000
VPIZR-197203;VPI-0;125,40000
VPIZR-197204;VPI-0;125,50000
VPIZR-197205;VPI-0;125,80000
VPIZR-197206;VPI-0;127,80000
VPIZR-197207;VPI-0;128,30000
VPIZR-197208;VPI-0;129,30000
VPIZR-197209;VPI-0;129,90000
VPIZR-197210;VPI-0;131,20000
VPIZR-197211;VPI-0;131,80000
VPIZR-197212;VPI-0;132,50000
VPIZR-1972;VPI-0;128,00000
VPIZR-197301;VPI-0;134,10000
VPIZR-197302;VPI-0;134,70000
VPIZR-197303;VPI-0;135,00000
VPIZR-197304;VPI-0;135,50000
VPIZR-197305;VPI-0;136,00000
VPIZR-197306;VPI-0;137,00000
VPIZR-197307;VPI-0;137,40000
VPIZR-197308;VPI-0;138,30000
VPIZR-197309;VPI-0;138,40000
VPIZR-197310;VPI-0;140,40000
VPIZR-197311;VPI-0;142,30000
VPIZR-197312;VPI-0;142,90000
VPIZR-1973;VPI-0;137,70000
VPIZR-197401;VPI-0;145,00000
VPIZR-197402;VPI-0;146,00000
VPIZR-197403;VPI-0;147,10000
VPIZR-197404;VPI-0;148,70000
VPIZR-197405;VPI-0;149,10000
VPIZR-197406;VPI-0;151,00000
VPIZR-197407;VPI-0;151,20000
VPIZR-197408;VPI-0;152,00000
VPIZR-197409;VPI-0;152,40000
VPIZR-197410;VPI-0;154,40000
VPIZR-197411;VPI-0;155,70000
VPIZR-197412;VPI-0;156,70000
VPIZR-1974;VPI-0;150,80000
VPIZR-197501;VPI-0;158,40000
VPIZR-197502;VPI-0;160,00000
VPIZR-197503;VPI-0;160,70000
VPIZR-197504;VPI-0;161,50000
VPIZR-197505;VPI-0;161,90000
VPIZR-197506;VPI-0;163,60000
VPIZR-197507;VPI-0;164,70000
VPIZR-197508;VPI-0;165,40000
VPIZR-197509;VPI-0;165,70000
VPIZR-197510;VPI-0;166,30000
VPIZR-197511;VPI-0;166,60000
VPIZR-197512;VPI-0;167,30000
VPIZR-1975;VPI-0;163,50000
VPIZR-197601;VPI-0;169,90000
VPIZR-197602;VPI-0;171,70000
VPIZR-197603;VPI-0;173,20000
VPIZR-197604;VPI-0;174,00000
VPIZR-197605;VPI-0;174,00000
VPIZR-197606;VPI-0;175,80000
VPIZR-197607;VPI-0;175,60000
VPIZR-197608;VPI-0;177,70000
VPIZR-197609;VPI-0;177,60000
VPIZR-197610;VPI-0;178,30000
VPIZR-197611;VPI-0;178,50000
VPIZR-197612;VPI-0;179,40000
VPIZR-1976;VPI-0;175,50000
VPIZR-197701;VPI-0;181,60000
VPIZR-197702;VPI-0;182,70000
VPIZR-197703;VPI-0;183,20000
VPIZR-197704;VPI-0;183,60000
VPIZR-197705;VPI-0;184,10000
VPIZR-197706;VPI-0;185,90000
VPIZR-197707;VPI-0;186,60000
VPIZR-197708;VPI-0;186,70000
VPIZR-197709;VPI-0;186,40000
VPIZR-197710;VPI-0;187,30000
VPIZR-197711;VPI-0;186,40000
VPIZR-197712;VPI-0;186,90000
VPIZR-1977;VPI-0;185,10000
VPIZR-197801;VPI-0;188,80000
VPIZR-197802;VPI-0;189,70000
VPIZR-197803;VPI-0;190,20000
VPIZR-197804;VPI-0;190,80000
VPIZR-197805;VPI-0;191,10000
VPIZR-197806;VPI-0;191,80000
VPIZR-197807;VPI-0;192,20000
VPIZR-197808;VPI-0;193,40000
VPIZR-197809;VPI-0;192,70000
VPIZR-197810;VPI-0;193,10000
VPIZR-197811;VPI-0;193,20000
VPIZR-197812;VPI-0;193,80000
VPIZR-1978;VPI-0;191,70000
VPIZR-197901;VPI-0;195,50000
VPIZR-197902;VPI-0;196,60000
VPIZR-197903;VPI-0;196,90000
VPIZR-197904;VPI-0;197,10000
VPIZR-197905;VPI-0;197,10000
VPIZR-197906;VPI-0;198,00000
VPIZR-197907;VPI-0;199,70000
VPIZR-197908;VPI-0;199,70000
VPIZR-197909;VPI-0;199,90000
VPIZR-197910;VPI-0;200,90000
VPIZR-197911;VPI-0;201,80000
VPIZR-197912;VPI-0;202,90000
VPIZR-1979;VPI-0;198,80000
VPIZR-198001;VPI-0;205,30000
VPIZR-198002;VPI-0;207,10000
VPIZR-198003;VPI-0;207,80000
VPIZR-198004;VPI-0;208,70000
VPIZR-198005;VPI-0;209,70000
VPIZR-198006;VPI-0;212,00000
VPIZR-198007;VPI-0;212,90000
VPIZR-198008;VPI-0;214,30000
VPIZR-198009;VPI-0;213,80000
VPIZR-198010;VPI-0;214,50000
VPIZR-198011;VPI-0;214,60000
VPIZR-198012;VPI-0;216,40000
VPIZR-1980;VPI-0;211,40000
VPIZR-198101;VPI-0;219,70000
VPIZR-198102;VPI-0;221,00000
VPIZR-198103;VPI-0;222,70000
VPIZR-198104;VPI-0;224,10000
VPIZR-198105;VPI-0;223,90000
VPIZR-198106;VPI-0;225,30000
VPIZR-198107;VPI-0;226,70000
VPIZR-198108;VPI-0;228,00000
VPIZR-198109;VPI-0;228,50000
VPIZR-198110;VPI-0;229,90000
VPIZR-198111;VPI-0;229,60000
VPIZR-198112;VPI-0;230,30000
VPIZR-1981;VPI-0;225,80000
VPIZR-198201;VPI-0;233,20000
VPIZR-198202;VPI-0;234,10000
VPIZR-198203;VPI-0;236,00000
VPIZR-198204;VPI-0;237,10000
VPIZR-198205;VPI-0;237,50000
VPIZR-198206;VPI-0;238,70000
VPIZR-198207;VPI-0;239,20000
VPIZR-198208;VPI-0;239,60000
VPIZR-198209;VPI-0;239,70000
VPIZR-198210;VPI-0;240,40000
VPIZR-198211;VPI-0;240,40000
VPIZR-198212;VPI-0;241,10000
VPIZR-1982;VPI-0;238,10000
VPIZR-198301;VPI-0;242,70000
VPIZR-198302;VPI-0;243,80000
VPIZR-198303;VPI-0;244,30000
VPIZR-198304;VPI-0;244,10000
VPIZR-198305;VPI-0;243,40000
VPIZR-198306;VPI-0;244,60000
VPIZR-198307;VPI-0;245,90000
VPIZR-198308;VPI-0;247,30000
VPIZR-198309;VPI-0;247,60000
VPIZR-198310;VPI-0;249,00000
VPIZR-198311;VPI-0;249,40000
VPIZR-198312;VPI-0;250,30000
VPIZR-1983;VPI-0;246,00000
VPIZR-198401;VPI-0;256,40000
VPIZR-198402;VPI-0;257,60000
VPIZR-198403;VPI-0;258,50000
VPIZR-198404;VPI-0;258,50000
VPIZR-198405;VPI-0;257,80000
VPIZR-198406;VPI-0;260,10000
VPIZR-198407;VPI-0;259,60000
VPIZR-198408;VPI-0;262,00000
VPIZR-198409;VPI-0;261,50000
VPIZR-198410;VPI-0;262,00000
VPIZR-198411;VPI-0;262,70000
VPIZR-198412;VPI-0;262,90000
VPIZR-1984;VPI-0;260,00000
VPIZR-198501;VPI-0;265,00000
VPIZR-198502;VPI-0;266,40000
VPIZR-198503;VPI-0;267,80000
VPIZR-198504;VPI-0;268,30000
VPIZR-198505;VPI-0;267,60000
VPIZR-198506;VPI-0;268,50000
VPIZR-198507;VPI-0;268,70000
VPIZR-198508;VPI-0;268,90000
VPIZR-198509;VPI-0;269,00000
VPIZR-198510;VPI-0;269,00000
VPIZR-198511;VPI-0;269,60000
VPIZR-198512;VPI-0;270,30000
VPIZR-1985;VPI-0;268,30000
VPIZR-198601;VPI-0;272,70000
VPIZR-198602;VPI-0;273,10000
VPIZR-198603;VPI-0;272,60000
VPIZR-198604;VPI-0;272,00000
VPIZR-198605;VPI-0;271,70000
VPIZR-198606;VPI-0;272,60000
VPIZR-198607;VPI-0;272,70000
VPIZR-198608;VPI-0;273,40000
VPIZR-198609;VPI-0;273,60000
VPIZR-198610;VPI-0;273,40000
VPIZR-198611;VPI-0;272,90000
VPIZR-198612;VPI-0;273,30000
VPIZR-1986;VPI-0;272,80000
VPIZR-198701;VPI-0;273,60000
VPIZR-198702;VPI-0;273,30000
VPIZR-198703;VPI-0;273,90000
VPIZR-198704;VPI-0;274,40000
VPIZR-198705;VPI-0;275,30000
VPIZR-198706;VPI-0;277,70000
VPIZR-198707;VPI-0;279,10000
VPIZR-198708;VPI-0;280,40000
VPIZR-198709;VPI-0;278,80000
VPIZR-198710;VPI-0;278,30000
VPIZR-198711;VPI-0;277,40000
VPIZR-198712;VPI-0;277,70000
VPIZR-1987;VPI-0;276,70000
VPIZR-198801;VPI-0;278,80000
VPIZR-198802;VPI-0;279,30000
VPIZR-198803;VPI-0;280,20000
VPIZR-198804;VPI-0;280,40000
VPIZR-198805;VPI-0;279,90000
VPIZR-198806;VPI-0;281,50000
VPIZR-198807;VPI-0;284,80000
VPIZR-198808;VPI-0;285,60000
VPIZR-198809;VPI-0;284,00000
VPIZR-198810;VPI-0;283,20000
VPIZR-198811;VPI-0;282,90000
VPIZR-198812;VPI-0;282,90000
VPIZR-1988;VPI-0;282,00000
VPIZR-198901;VPI-0;284,80000
VPIZR-198902;VPI-0;286,20000
VPIZR-198903;VPI-0;286,40000
VPIZR-198904;VPI-0;287,30000
VPIZR-198905;VPI-0;287,80000
VPIZR-198906;VPI-0;288,60000
VPIZR-198907;VPI-0;292,20000
VPIZR-198908;VPI-0;293,30000
VPIZR-198909;VPI-0;291,10000
VPIZR-198910;VPI-0;291,10000
VPIZR-198911;VPI-0;290,50000
VPIZR-198912;VPI-0;291,10000
VPIZR-1989;VPI-0;289,20000
VPIZR-199001;VPI-0;293,00000
VPIZR-199002;VPI-0;295,20000
VPIZR-199003;VPI-0;295,40000
VPIZR-199004;VPI-0;296,30000
VPIZR-199005;VPI-0;296,50000
VPIZR-199006;VPI-0;297,10000
VPIZR-199007;VPI-0;300,90000
VPIZR-199008;VPI-0;302,50000
VPIZR-199009;VPI-0;302,00000
VPIZR-199010;VPI-0;302,30000
VPIZR-199011;VPI-0;301,20000
VPIZR-199012;VPI-0;301,20000
VPIZR-1990;VPI-0;298,60000
VPIZR-199101;VPI-0;302,80000
VPIZR-199102;VPI-0;305,00000
VPIZR-199103;VPI-0;305,80000
VPIZR-199104;VPI-0;306,10000
VPIZR-199105;VPI-0;306,40000
VPIZR-199106;VPI-0;308,30000
VPIZR-199107;VPI-0;311,80000
VPIZR-199108;VPI-0;313,70000
VPIZR-199109;VPI-0;311,50000
VPIZR-199110;VPI-0;310,40000
VPIZR-199111;VPI-0;311,00000
VPIZR-199112;VPI-0;310,40000
VPIZR-1991;VPI-0;308,60000
VPIZR-199201;VPI-0;314,50000
VPIZR-199202;VPI-0;317,50000
VPIZR-199203;VPI-0;318,40000
VPIZR-199204;VPI-0;318,40000
VPIZR-199205;VPI-0;319,40000
VPIZR-199206;VPI-0;320,50000
VPIZR-199207;VPI-0;324,40000
VPIZR-199208;VPI-0;325,70000
VPIZR-199209;VPI-0;323,50000
VPIZR-199210;VPI-0;323,00000
VPIZR-199211;VPI-0;323,30000
VPIZR-199212;VPI-0;323,50000
VPIZR-1992;VPI-0;321,00000
VPIZR-199301;VPI-0;327,40000
VPIZR-199302;VPI-0;329,30000
VPIZR-199303;VPI-0;330,60000
VPIZR-199304;VPI-0;330,60000
VPIZR-199305;VPI-0;331,20000
VPIZR-199306;VPI-0;332,00000
VPIZR-199307;VPI-0;335,80000
VPIZR-199308;VPI-0;336,90000
VPIZR-199309;VPI-0;334,50000
VPIZR-199310;VPI-0;334,20000
VPIZR-199311;VPI-0;334,50000
VPIZR-199312;VPI-0;335,00000
VPIZR-1993;VPI-0;332,70000
VPIZR-199401;VPI-0;337,50000
VPIZR-199402;VPI-0;339,60000
VPIZR-199403;VPI-0;340,70000
VPIZR-199404;VPI-0;340,50000
VPIZR-199405;VPI-0;341,00000
VPIZR-199406;VPI-0;341,50000
VPIZR-199407;VPI-0;345,40000
VPIZR-199408;VPI-0;347,50000
VPIZR-199409;VPI-0;344,80000
VPIZR-199410;VPI-0;344,00000
VPIZR-199411;VPI-0;343,70000
VPIZR-199412;VPI-0;343,70000
VPIZR-1994;VPI-0;342,50000
VPIZR-199501;VPI-0;346,20000
VPIZR-199502;VPI-0;347,80000
VPIZR-199503;VPI-0;348,90000
VPIZR-199504;VPI-0;349,20000
VPIZR-199505;VPI-0;349,20000
VPIZR-199506;VPI-0;350,50000
VPIZR-199507;VPI-0;353,00000
VPIZR-199508;VPI-0;354,90000
VPIZR-199509;VPI-0;351,60000
VPIZR-199510;VPI-0;350,50000
VPIZR-199511;VPI-0;350,30000
VPIZR-199512;VPI-0;350,00000
VPIZR-1995;VPI-0;350,20000
VPIZR-199601;VPI-0;351,90000
VPIZR-199602;VPI-0;353,50000
VPIZR-199603;VPI-0;355,20000
VPIZR-199604;VPI-0;354,90000
VPIZR-199605;VPI-0;354,40000
VPIZR-199606;VPI-0;356,30000
VPIZR-199607;VPI-0;359,60000
VPIZR-199608;VPI-0;361,50000
VPIZR-199609;VPI-0;358,70000
VPIZR-199610;VPI-0;357,90000
VPIZR-199611;VPI-0;358,20000
VPIZR-199612;VPI-0;358,20000
VPIZR-1996;VPI-0;356,70000
VPIZR-199701;VPI-0;359,20000
VPIZR-199702;VPI-0;360,60000
VPIZR-199703;VPI-0;361,00000
VPIZR-199704;VPI-0;361,00000
VPIZR-199705;VPI-0;361,30000
VPIZR-199706;VPI-0;361,30000
VPIZR-199707;VPI-0;361,30000
VPIZR-199708;VPI-0;361,30000
VPIZR-199709;VPI-0;361,30000
VPIZR-199710;VPI-0;362,40000
VPIZR-199711;VPI-0;362,40000
VPIZR-199712;VPI-0;363,10000
VPIZR-1997;VPI-0;361,40000
VPIZR-199801;VPI-0;363,50000
VPIZR-199802;VPI-0;364,20000
VPIZR-199803;VPI-0;364,50000
VPIZR-199804;VPI-0;365,30000
VPIZR-199805;VPI-0;364,90000
VPIZR-199806;VPI-0;364,50000
VPIZR-199807;VPI-0;364,50000
VPIZR-199808;VPI-0;364,50000
VPIZR-199809;VPI-0;364,50000
VPIZR-199810;VPI-0;364,90000
VPIZR-199811;VPI-0;365,30000
VPIZR-199812;VPI-0;365,60000
VPIZR-1998;VPI-0;364,70000
VPIZR-199901;VPI-0;365,30000
VPIZR-199902;VPI-0;366,00000
VPIZR-199903;VPI-0;366,00000
VPIZR-199904;VPI-0;366,00000
VPIZR-199905;VPI-0;366,70000
VPIZR-199906;VPI-0;366,00000
VPIZR-199907;VPI-0;366,00000
VPIZR-199908;VPI-0;366,30000
VPIZR-199909;VPI-0;366,30000
VPIZR-199910;VPI-0;367,80000
VPIZR-199911;VPI-0;368,10000
VPIZR-199912;VPI-0;370,60000
VPIZR-1999;VPI-0;366,80000
VPIZR-200001;VPI-0;369,50000
VPIZR-200002;VPI-0;372,00000
VPIZR-200003;VPI-0;373,10000
VPIZR-200004;VPI-0;372,80000
VPIZR-200005;VPI-0;373,10000
VPIZR-200006;VPI-0;376,00000
VPIZR-200007;VPI-0;376,30000
VPIZR-200008;VPI-0;376,30000
VPIZR-200009;VPI-0;377,40000
VPIZR-200010;VPI-0;378,10000
VPIZR-200011;VPI-0;379,50000
VPIZR-200012;VPI-0;380,20000
VPIZR-2000;VPI-0;375,40000
VPIZR-200101;VPI-0;381,00000
VPIZR-200102;VPI-0;382,20000
VPIZR-200103;VPI-0;382,90000
VPIZR-200104;VPI-0;384,80000
VPIZR-200105;VPI-0;385,50000
VPIZR-200106;VPI-0;386,30000
VPIZR-200107;VPI-0;386,70000
VPIZR-200108;VPI-0;385,90000
VPIZR-200109;VPI-0;387,00000
VPIZR-200110;VPI-0;387,40000
VPIZR-200111;VPI-0;387,00000
VPIZR-200112;VPI-0;387,80000
VPIZR-2001;VPI-0;385,40000
VPIZR-200201;VPI-0;388,90000
VPIZR-200202;VPI-0;389,30000
VPIZR-200203;VPI-0;390,00000
VPIZR-200204;VPI-0;391,50000
VPIZR-200205;VPI-0;392,70000
VPIZR-200206;VPI-0;393,00000
VPIZR-200207;VPI-0;392,70000
VPIZR-200208;VPI-0;393,40000
VPIZR-200209;VPI-0;393,40000
VPIZR-200210;VPI-0;394,20000
VPIZR-200211;VPI-0;393,80000
VPIZR-200212;VPI-0;394,90000
VPIZR-2002;VPI-0;392,30000
VPIZR-200301;VPI-0;395,70000
VPIZR-200302;VPI-0;396,00000
VPIZR-200303;VPI-0;397,20000
VPIZR-200304;VPI-0;396,80000
VPIZR-200305;VPI-0;396,80000
VPIZR-200306;VPI-0;397,50000
VPIZR-200307;VPI-0;397,20000
VPIZR-200308;VPI-0;398,30000
VPIZR-200309;VPI-0;399,10000
VPIZR-200310;VPI-0;398,30000
VPIZR-200311;VPI-0;399,10000
VPIZR-200312;VPI-0;399,80000
VPIZR-2003;VPI-0;397,70000
VPIZR-200401;VPI-0;400,20000
VPIZR-200402;VPI-0;401,70000
VPIZR-200403;VPI-0;403,20000
VPIZR-200404;VPI-0;403,20000
VPIZR-200405;VPI-0;405,10000
VPIZR-200406;VPI-0;406,60000
VPIZR-200407;VPI-0;405,80000
VPIZR-200408;VPI-0;407,30000
VPIZR-200409;VPI-0;407,30000
VPIZR-200410;VPI-0;408,80000
VPIZR-200411;VPI-0;409,60000
VPIZR-200412;VPI-0;411,40000
VPIZR-2004;VPI-0;405,90000
VPIZR-200501;VPI-0;411,80000
VPIZR-200502;VPI-0;412,90000
VPIZR-200503;VPI-0;414,80000
VPIZR-200504;VPI-0;413,70000
VPIZR-200505;VPI-0;414,40000
VPIZR-200506;VPI-0;415,90000
VPIZR-200507;VPI-0;414,80000
VPIZR-200508;VPI-0;415,60000
VPIZR-200509;VPI-0;417,10000
VPIZR-200510;VPI-0;417,10000
VPIZR-200511;VPI-0;416,30000
VPIZR-200512;VPI-0;417,80000
VPIZR-2005;VPI-0;415,20000
VPIZR-200601;VPI-0;416,90000
VPIZR-200602;VPI-0;418,10000
VPIZR-200603;VPI-0;419,40000
VPIZR-200604;VPI-0;421,40000
VPIZR-200605;VPI-0;421,80000
VPIZR-200606;VPI-0;422,30000
VPIZR-200607;VPI-0;421,80000
VPIZR-200608;VPI-0;423,10000
VPIZR-200609;VPI-0;422,30000
VPIZR-200610;VPI-0;421,80000
VPIZR-200611;VPI-0;422,30000
VPIZR-200612;VPI-0;423,50000
VPIZR-2006;VPI-0;421,20000
VPIZR-200701;VPI-0;423,50000
VPIZR-200702;VPI-0;424,70000
VPIZR-200703;VPI-0;426,80000
VPIZR-200704;VPI-0;428,90000
VPIZR-200705;VPI-0;430,10000
VPIZR-200706;VPI-0;430,60000
VPIZR-200707;VPI-0;430,60000
VPIZR-200708;VPI-0;430,10000
VPIZR-200709;VPI-0;431,00000
VPIZR-200710;VPI-0;433,50000
VPIZR-200711;VPI-0;435,50000
VPIZR-200712;VPI-0;438,90000
VPIZR-2007;VPI-0;430,40000
VPIZR-200801;VPI-0;437,20000
VPIZR-200802;VPI-0;438,50000
VPIZR-200803;VPI-0;441,80000
VPIZR-200804;VPI-0;443,00000
VPIZR-200805;VPI-0;445,90000
VPIZR-200806;VPI-0;447,20000
VPIZR-200807;VPI-0;446,80000
VPIZR-200808;VPI-0;445,90000
VPIZR-200809;VPI-0;447,20000
VPIZR-200810;VPI-0;446,80000
VPIZR-200811;VPI-0;445,50000
VPIZR-200812;VPI-0;444,70000
VPIZR-2008;VPI-0;444,20000
VPIZR-200901;VPI-0;442,60000
VPIZR-200902;VPI-0;444,30000
VPIZR-200903;VPI-0;445,10000
VPIZR-200904;VPI-0;445,90000
VPIZR-200905;VPI-0;447,20000
VPIZR-200906;VPI-0;446,80000
VPIZR-200907;VPI-0;445,50000
VPIZR-200908;VPI-0;447,20000
VPIZR-200909;VPI-0;447,60000
VPIZR-200910;VPI-0;447,60000
VPIZR-200911;VPI-0;448,40000
VPIZR-200912;VPI-0;449,20000
VPIZR-2009;VPI-0;446,50000
VPIZR-201001;VPI-0;448,00000
VPIZR-201002;VPI-0;448,80000
VPIZR-201003;VPI-0;453,80000
VPIZR-201004;VPI-0;455,10000
VPIZR-201005;VPI-0;455,50000
VPIZR-201006;VPI-0;455,50000
VPIZR-201007;VPI-0;453,80000
VPIZR-201008;VPI-0;454,60000
VPIZR-201009;VPI-0;455,90000
VPIZR-201010;VPI-0;457,10000
VPIZR-201011;VPI-0;456,70000
VPIZR-201012;VPI-0;459,60000
VPIZR-2010;VPI-0;454,50000
VPIZR-201101;VPI-0;459,00000
VPIZR-201102;VPI-0;462,20000
VPIZR-201103;VPI-0;467,70000
VPIZR-201104;VPI-0;470,00000
VPIZR-201105;VPI-0;470,40000
VPIZR-201106;VPI-0;470,40000
VPIZR-201107;VPI-0;469,50000
VPIZR-201108;VPI-0;470,40000
VPIZR-201109;VPI-0;472,20000
VPIZR-201110;VPI-0;472,70000
VPIZR-201111;VPI-0;473,10000
VPIZR-201112;VPI-0;474,00000
VPIZR-2011;VPI-0;469,30000
VPIZR-201201;VPI-0;471,80000
VPIZR-201202;VPI-0;474,00000
VPIZR-201203;VPI-0;479,00000
VPIZR-201204;VPI-0;480,90000
VPIZR-201205;VPI-0;480,40000
VPIZR-201206;VPI-0;480,90000
VPIZR-201207;VPI-0;479,50000
VPIZR-201208;VPI-0;480,90000
VPIZR-201209;VPI-0;485,00000
VPIZR-201210;VPI-0;485,90000
VPIZR-201211;VPI-0;486,30000
VPIZR-201212;VPI-0;487,20000
VPIZR-2012;VPI-0;481,00000
VPIZR-201301;VPI-0;484,50000
VPIZR-201302;VPI-0;485,90000
VPIZR-201303;VPI-0;490,00000
VPIZR-201304;VPI-0;490,40000
VPIZR-201305;VPI-0;491,30000
VPIZR-201306;VPI-0;491,30000
VPIZR-201307;VPI-0;489,00000
VPIZR-201308;VPI-0;489,50000
VPIZR-201309;VPI-0;493,10000
VPIZR-201310;VPI-0;492,70000
VPIZR-201311;VPI-0;493,10000
VPIZR-201312;VPI-0;496,30000
VPIZR-2013;VPI-0;490,60000
VPIZR-201401;VPI-0;492,20000
VPIZR-201402;VPI-0;493,10000
VPIZR-201403;VPI-0;498,10000
VPIZR-201404;VPI-0;498,60000
VPIZR-201405;VPI-0;500,00000
VPIZR-201406;VPI-0;500,40000
VPIZR-201407;VPI-0;497,70000
VPIZR-201408;VPI-0;497,70000
VPIZR-201409;VPI-0;500,90000
VPIZR-201410;VPI-0;500,40000
VPIZR-201411;VPI-0;501,30000
VPIZR-201412;VPI-0;501,30000
VPIZR-2014;VPI-0;498,50000
VPIZR-201501;VPI-0;495,90000
VPIZR-201502;VPI-0;497,20000
VPIZR-201503;VPI-0;503,10000
VPIZR-201504;VPI-0;503,60000
VPIZR-201505;VPI-0;504,90000
VPIZR-201506;VPI-0;505,40000
VPIZR-201507;VPI-0;503,60000
VPIZR-201508;VPI-0;502,70000
VPIZR-201509;VPI-0;504,50000
VPIZR-201510;VPI-0;504,00000
VPIZR-201511;VPI-0;504,50000
VPIZR-201512;VPI-0;506,30000
VPIZR-2015;VPI-0;503,00000
VPIZR-201601;VPI-0;502,00000
VPIZR-201602;VPI-0;502,50000
VPIZR-201603;VPI-0;506,50000
VPIZR-201604;VPI-0;506,50000
VPIZR-201605;VPI-0;508,00000
VPIZR-201606;VPI-0;508,50000
VPIZR-201607;VPI-0;506,50000
VPIZR-201608;VPI-0;505,50000
VPIZR-201609;VPI-0;509,00000
VPIZR-201610;VPI-0;510,50000
VPIZR-201611;VPI-0;511,00000
VPIZR-201612;VPI-0;513,60000
VPIZR-2016;VPI-0;507,50000
VPIZR-201701;VPI-0;512,10000
VPIZR-201702;VPI-0;513,60000
VPIZR-201703;VPI-0;516,10000
VPIZR-201704;VPI-0;517,10000
VPIZR-201705;VPI-0;517,60000
VPIZR-201706;VPI-0;518,10000
VPIZR-201707;VPI-0;516,60000
VPIZR-201708;VPI-0;516,10000
VPIZR-201709;VPI-0;521,10000
VPIZR-201710;VPI-0;521,60000
VPIZR-201711;VPI-0;522,60000
VPIZR-201712;VPI-0;524,60000
VPIZR-2017;VPI-0;518,10000
VPIZR-201801;VPI-0;521,10000
VPIZR-201802;VPI-0;522,60000
VPIZR-201803;VPI-0;525,60000
VPIZR-201804;VPI-0;526,60000
VPIZR-201805;VPI-0;527,60000
VPIZR-201806;VPI-0;528,70000
VPIZR-201807;VPI-0;527,60000
VPIZR-201808;VPI-0;527,60000
VPIZR-201809;VPI-0;531,70000
VPIZR-201810;VPI-0;533,20000
VPIZR-201811;VPI-0;534,20000
VPIZR-201812;VPI-0;534,70000
VPIZR-2018;VPI-0;528,40000
VPIZR-201901;VPI-0;530,70000
VPIZR-201902;VPI-0;530,70000
VPIZR-201903;VPI-0;535,20000
VPIZR-201904;VPI-0;535,70000
VPIZR-201905;VPI-0;536,70000
VPIZR-201906;VPI-0;537,20000
VPIZR-201907;VPI-0;535,20000
VPIZR-201908;VPI-0;535,70000
VPIZR-201909;VPI-0;538,20000
VPIZR-201910;VPI-0;539,20000
VPIZR-201911;VPI-0;540,20000
VPIZR-201912;VPI-0;543,70000
VPIZR-2019;VPI-0;536,50000
VPIZR-202001;VPI-0;541,20000
VPIZR-202002;VPI-0;542,20000
VPIZR-202003;VPI-0;543,70000
VPIZR-202004;VPI-0;543,70000
VPIZR-202005;VPI-0;540,20000
VPIZR-202006;VPI-0;543,20000
VPIZR-202007;VPI-0;544,20000
VPIZR-202008;VPI-0;543,20000
