code;name;en_name;;;;;;;
C-VPIZR-0;Zeitraum der Erhebung;;;;;;;;
C-VPI5-0;Coicop 5-Steller;;;;;;;;
F-VPIMZBM;Messzahl Berichtsmonat/ Jahresdurchschnitt;;;;;;;;
F-VPIMZVM;Messzahl Vormonat;;;;;;;;
F-VPIMZVJM;Messzahl Vorjahresmonat/ Vorjahresdurchschnitt;;;;;;;;
F-VPIPZVM;Prozent Vormonat;;;;;;;;
F-VPIPZVJM;Prozent Vorjahresmonat/ Vorjahr;;;;;;;;
F-VPIEFVM;Einfluss Vormonat;;;;;;;;
F-VPIEFVJM;Einfluss Vorjahresmonat;;;;;;;;
F-VPIGEWBM;Gewicht Berichtsmonat;;;;;;;;
