C-VPIZR-0;C-VPI1-0;F-VPIMZBM
VPIZR-198903;VPI-0;163,30000
VPIZR-198904;VPI-0;163,70000
VPIZR-198905;VPI-0;164,10000
VPIZR-198906;VPI-0;164,50000
VPIZR-198907;VPI-0;166,50000
VPIZR-198908;VPI-0;167,20000
VPIZR-198909;VPI-0;165,90000
VPIZR-198910;VPI-0;165,90000
VPIZR-198911;VPI-0;165,60000
VPIZR-198912;VPI-0;165,90000
VPIZR-1989;VPI-0;164,80000
VPIZR-199001;VPI-0;167,00000
VPIZR-199002;VPI-0;168,30000
VPIZR-199003;VPI-0;168,40000
VPIZR-199004;VPI-0;168,90000
VPIZR-199005;VPI-0;169,00000
VPIZR-199006;VPI-0;169,30000
VPIZR-199007;VPI-0;171,50000
VPIZR-199008;VPI-0;172,40000
VPIZR-199009;VPI-0;172,10000
VPIZR-199010;VPI-0;172,30000
VPIZR-199011;VPI-0;171,70000
VPIZR-199012;VPI-0;171,70000
VPIZR-1990;VPI-0;170,20000
VPIZR-199101;VPI-0;172,60000
VPIZR-199102;VPI-0;173,80000
VPIZR-199103;VPI-0;174,30000
VPIZR-199104;VPI-0;174,50000
VPIZR-199105;VPI-0;174,60000
VPIZR-199106;VPI-0;175,70000
VPIZR-199107;VPI-0;177,70000
VPIZR-199108;VPI-0;178,80000
VPIZR-199109;VPI-0;177,60000
VPIZR-199110;VPI-0;177,00000
VPIZR-199111;VPI-0;177,30000
VPIZR-199112;VPI-0;177,00000
VPIZR-1991;VPI-0;175,90000
VPIZR-199201;VPI-0;179,30000
VPIZR-199202;VPI-0;181,00000
VPIZR-199203;VPI-0;181,50000
VPIZR-199204;VPI-0;181,50000
VPIZR-199205;VPI-0;182,10000
VPIZR-199206;VPI-0;182,70000
VPIZR-199207;VPI-0;184,90000
VPIZR-199208;VPI-0;185,70000
VPIZR-199209;VPI-0;184,40000
VPIZR-199210;VPI-0;184,10000
VPIZR-199211;VPI-0;184,30000
VPIZR-199212;VPI-0;184,40000
VPIZR-1992;VPI-0;183,00000
VPIZR-199301;VPI-0;186,60000
VPIZR-199302;VPI-0;187,70000
VPIZR-199303;VPI-0;188,50000
VPIZR-199304;VPI-0;188,50000
VPIZR-199305;VPI-0;188,80000
VPIZR-199306;VPI-0;189,20000
VPIZR-199307;VPI-0;191,40000
VPIZR-199308;VPI-0;192,00000
VPIZR-199309;VPI-0;190,60000
VPIZR-199310;VPI-0;190,50000
VPIZR-199311;VPI-0;190,60000
VPIZR-199312;VPI-0;191,00000
VPIZR-1993;VPI-0;189,60000
VPIZR-199401;VPI-0;192,40000
VPIZR-199402;VPI-0;193,60000
VPIZR-199403;VPI-0;194,20000
VPIZR-199404;VPI-0;194,10000
VPIZR-199405;VPI-0;194,40000
VPIZR-199406;VPI-0;194,70000
VPIZR-199407;VPI-0;196,90000
VPIZR-199408;VPI-0;198,10000
VPIZR-199409;VPI-0;196,60000
VPIZR-199410;VPI-0;196,10000
VPIZR-199411;VPI-0;195,90000
VPIZR-199412;VPI-0;195,90000
VPIZR-1994;VPI-0;195,20000
VPIZR-199501;VPI-0;197,30000
VPIZR-199502;VPI-0;198,30000
VPIZR-199503;VPI-0;198,90000
VPIZR-199504;VPI-0;199,00000
VPIZR-199505;VPI-0;199,00000
VPIZR-199506;VPI-0;199,80000
VPIZR-199507;VPI-0;201,20000
VPIZR-199508;VPI-0;202,30000
VPIZR-199509;VPI-0;200,40000
VPIZR-199510;VPI-0;199,80000
VPIZR-199511;VPI-0;199,70000
VPIZR-199512;VPI-0;199,50000
VPIZR-1995;VPI-0;199,60000
VPIZR-199601;VPI-0;200,60000
VPIZR-199602;VPI-0;201,50000
VPIZR-199603;VPI-0;202,50000
VPIZR-199604;VPI-0;202,30000
VPIZR-199605;VPI-0;202,00000
VPIZR-199606;VPI-0;203,10000
VPIZR-199607;VPI-0;204,90000
VPIZR-199608;VPI-0;206,00000
VPIZR-199609;VPI-0;204,50000
VPIZR-199610;VPI-0;204,00000
VPIZR-199611;VPI-0;204,20000
VPIZR-199612;VPI-0;204,20000
VPIZR-1996;VPI-0;203,30000
VPIZR-199701;VPI-0;204,70000
VPIZR-199702;VPI-0;205,50000
VPIZR-199703;VPI-0;205,70000
VPIZR-199704;VPI-0;205,70000
VPIZR-199705;VPI-0;205,90000
VPIZR-199706;VPI-0;205,90000
VPIZR-199707;VPI-0;205,90000
VPIZR-199708;VPI-0;205,90000
VPIZR-199709;VPI-0;205,90000
VPIZR-199710;VPI-0;206,60000
VPIZR-199711;VPI-0;206,60000
VPIZR-199712;VPI-0;207,00000
VPIZR-1997;VPI-0;205,90000
VPIZR-199801;VPI-0;207,20000
VPIZR-199802;VPI-0;207,60000
VPIZR-199803;VPI-0;207,80000
VPIZR-199804;VPI-0;208,20000
VPIZR-199805;VPI-0;208,00000
VPIZR-199806;VPI-0;207,80000
VPIZR-199807;VPI-0;207,80000
VPIZR-199808;VPI-0;207,80000
VPIZR-199809;VPI-0;207,80000
VPIZR-199810;VPI-0;208,00000
VPIZR-199811;VPI-0;208,20000
VPIZR-199812;VPI-0;208,40000
VPIZR-1998;VPI-0;207,90000
VPIZR-199901;VPI-0;208,20000
VPIZR-199902;VPI-0;208,60000
VPIZR-199903;VPI-0;208,60000
VPIZR-199904;VPI-0;208,60000
VPIZR-199905;VPI-0;209,00000
VPIZR-199906;VPI-0;208,60000
VPIZR-199907;VPI-0;208,60000
VPIZR-199908;VPI-0;208,80000
VPIZR-199909;VPI-0;208,80000
VPIZR-199910;VPI-0;209,60000
